id,pwa_url,paper_url
150534,"https://programs.sigchi.org/chi/2024/program/content/150534","https://doi.org/10.1145/3613905.3650828"
150536,"https://programs.sigchi.org/chi/2024/program/content/150536","https://doi.org/10.1145/3613905.3651886"
150539,"https://programs.sigchi.org/chi/2024/program/content/150539","https://doi.org/10.1145/3613905.3650921"
150540,"https://programs.sigchi.org/chi/2024/program/content/150540","https://doi.org/10.1145/3613905.3650935"
150541,"https://programs.sigchi.org/chi/2024/program/content/150541","https://doi.org/10.1145/3613905.3650736"
150542,"https://programs.sigchi.org/chi/2024/program/content/150542","https://doi.org/10.1145/3613905.3650979"
150543,"https://programs.sigchi.org/chi/2024/program/content/150543","https://doi.org/10.1145/3613905.3651112"
150545,"https://programs.sigchi.org/chi/2024/program/content/150545","https://doi.org/10.1145/3613905.3651109"
150548,"https://programs.sigchi.org/chi/2024/program/content/150548","https://doi.org/10.1145/3613905.3651891"
150553,"https://programs.sigchi.org/chi/2024/program/content/150553","https://doi.org/10.1145/3613905.3650975"
150555,"https://programs.sigchi.org/chi/2024/program/content/150555","https://doi.org/10.1145/3613905.3651888"
150556,"https://programs.sigchi.org/chi/2024/program/content/150556","https://doi.org/10.1145/3613905.3651072"
150559,"https://programs.sigchi.org/chi/2024/program/content/150559","https://doi.org/10.1145/3613905.3650801"
150562,"https://programs.sigchi.org/chi/2024/program/content/150562","https://doi.org/10.1145/3613905.3650792"
150565,"https://programs.sigchi.org/chi/2024/program/content/150565","https://doi.org/10.1145/3613905.3650986"
150566,"https://programs.sigchi.org/chi/2024/program/content/150566","https://doi.org/10.1145/3613905.3651056"
150570,"https://programs.sigchi.org/chi/2024/program/content/150570","https://doi.org/10.1145/3613905.3650775"
150572,"https://programs.sigchi.org/chi/2024/program/content/150572","https://doi.org/10.1145/3613905.3650773"
150574,"https://programs.sigchi.org/chi/2024/program/content/150574","https://doi.org/10.1145/3613905.3650903"
150578,"https://programs.sigchi.org/chi/2024/program/content/150578","https://doi.org/10.1145/3613905.3650904"
150580,"https://programs.sigchi.org/chi/2024/program/content/150580","https://doi.org/10.1145/3613905.3650761"
150582,"https://programs.sigchi.org/chi/2024/program/content/150582","https://doi.org/10.1145/3613905.3650798"
150584,"https://programs.sigchi.org/chi/2024/program/content/150584","https://"
150585,"https://programs.sigchi.org/chi/2024/program/content/150585","https://doi.org/10.1145/3613905.3650790"
150587,"https://programs.sigchi.org/chi/2024/program/content/150587","https://doi.org/10.1145/3613905.3650941"
150588,"https://programs.sigchi.org/chi/2024/program/content/150588","https://doi.org/10.1145/3613905.3650806"
150591,"https://programs.sigchi.org/chi/2024/program/content/150591","https://doi.org/10.1145/3613905.3651083"
150593,"https://programs.sigchi.org/chi/2024/program/content/150593","https://doi.org/10.1145/3613905.3650733"
150594,"https://programs.sigchi.org/chi/2024/program/content/150594","https://doi.org/10.1145/3613905.3651042"
150595,"https://programs.sigchi.org/chi/2024/program/content/150595","https://doi.org/10.1145/3613905.3650812"
150597,"https://programs.sigchi.org/chi/2024/program/content/150597","https://doi.org/10.1145/3613905.3650926"
150599,"https://programs.sigchi.org/chi/2024/program/content/150599","https://doi.org/10.1145/3613905.3651074"
150600,"https://programs.sigchi.org/chi/2024/program/content/150600","https://doi.org/10.1145/3613905.3650960"
